url,year,title,author,date,file_path
https://www.federalreserve.gov/newsevents/speech/files/tarullo20170404a.pdf,2017,Departing Thoughts,Governor Daniel K. Tarullo,2017-04-04,2017\Departing Thoughts_2017.pdf
https://www.federalreserve.gov/newsevents/speech/files/fischer20170417a.pdf,2017,Monetary Policy Expectations and Surprises,Vice Chairman Stanley Fischer,2017-04-17,2017\Monetary Policy Expectations and Surprises_2017.pdf
https://www.federalreserve.gov/newsevents/speech/files/fischer20170419a.pdf,2017,International Effects of Recent Policy Tightening,Vice Chairman Stanley Fischer,2017-04-19,2017\International Effects of Recent Policy Tightening_2017.pdf
https://www.federalreserve.gov/newsevents/speech/files/powell20170420a.pdf,2017,Brief Remarks,Governor Jerome H. Powell,2017-04-20,2017\Brief Remarks_2017.pdf
https://www.federalreserve.gov/newsevents/speech/files/brainard20170428a.pdf,2017,Where Do Banks Fit in the Fintech Stack?,Governor Lael Brainard,2017-04-28,2017\Where Do Banks Fit in the Fintech Stack_2017.pdf
https://www.federalreserve.gov/newsevents/speech/files/yellen20170505a.pdf,2017,So We All Can Succeed: 125 Years of Women's Participation in the Economy,Chair Janet L. Yellen,2017-05-05,2017\So We All Can Succeed 125 Years of Women's Partici_2017.pdf
https://www.federalreserve.gov/newsevents/speech/files/fischer20170505a.pdf,2017,Committee Decisions and Monetary Policy Rules,Vice Chairman Stanley Fischer,2017-05-05,2017\Committee Decisions and Monetary Policy Rules_2017.pdf
https://www.federalreserve.gov/newsevents/speech/files/brainard20170522a.pdf,2017,Why Opportunity and Inclusion Matter to America’s Economic Strength,Governor Lael Brainard,2017-05-22,2017\Why Opportunity and Inclusion Matter to America’s _2017.pdf
https://www.federalreserve.gov/newsevents/speech/files/brainard20170530a.pdf,2017,Navigating the Different Signals from Inflation and Unemployment,Governor Lael Brainard,2017-05-30,2017\Navigating the Different Signals from Inflation an_2017.pdf
https://www.federalreserve.gov/newsevents/speech/files/powell20170601a.pdf,2017,Thoughts on the Normalization of Monetary Policy,Governor Jerome H. Powell,2017-06-01,2017\Thoughts on the Normalization of Monetary Policy_2017.pdf
https://www.federalreserve.gov/newsevents/speech/files/fischer20170620a.pdf,2017,Housing and Financial Stability,Vice Chairman Stanley Fischer,2017-06-20,2017\Housing and Financial Stability_2017.pdf
https://www.federalreserve.gov/newsevents/speech/files/powell20170623a.pdf,2017,Central Clearing and Liquidity,Governor Jerome H. Powell,2017-06-23,2017\Central Clearing and Liquidity_2017.pdf
https://www.federalreserve.gov/newsevents/speech/files/powell20170626a.pdf,2017,Remarks,Governor Jerome H. Powell,2017-06-26,2017\Remarks_2017.pdf
https://www.federalreserve.gov/newsevents/speech/files/fischer20170627a.pdf,2017,An Assessment of Financial Stability in the United States,Vice Chairman Stanley Fischer,2017-06-27,2017\An Assessment of Financial Stability in the United_2017.pdf
https://www.federalreserve.gov/newsevents/speech/files/fischer20170706a.pdf,2017,Government Policy and Labor Productivity,Vice Chairman Stanley Fischer,2017-07-06,2017\Government Policy and Labor Productivity_2017.pdf
https://www.federalreserve.gov/newsevents/speech/files/powell20170706a.pdf,2017,The Case for Housing Finance Reform,Governor Jerome H. Powell,2017-07-06,2017\The Case for Housing Finance Reform_2017.pdf
https://www.federalreserve.gov/newsevents/speech/files/brainard20170713a.pdf,2017,Cross-Border Spillovers of Balance Sheet Normalization,Governor Lael Brainard,2017-07-13,2017\Cross-Border Spillovers of Balance Sheet Normaliza_2017.pdf
https://www.federalreserve.gov/newsevents/speech/files/brainard20170728a.pdf,2017,Strengthening Diversity in Economics,Governor Lael Brainard,2017-07-28,2017\Strengthening Diversity in Economics_2017.pdf
https://www.federalreserve.gov/newsevents/speech/files/fischer20170731a.pdf,2017,The Low Level of Global Real Interest Rates,Vice Chairman Stanley Fischer,2017-07-31,2017\The Low Level of Global Real Interest Rates_2017.pdf
https://www.federalreserve.gov/newsevents/speech/files/yellen20170825a.pdf,2017,Financial Stability a Decade after the Onset of the Crisis,Chair Janet L. Yellen,2017-08-25,2017\Financial Stability a Decade after the Onset of th_2017.pdf
https://www.federalreserve.gov/newsevents/speech/files/powell20170830a.pdf,2017,The Role of Boards at Large Financial Firms,Governor Jerome H. Powell,2017-08-30,2017\The Role of Boards at Large Financial Firms_2017.pdf
